id,camaras,area,precio,habitaciones,banos,tamano,parqueos
2801803,13,10,840.0,1,1.0,55.0,1
2801720,8,15,1500.0,3,2.0,97.0,2
2801656,7,5,790.0,2,1.0,50.0,1
2801496,14,4,775.0,1,1.0,40.0,1
2801357,10,10,1300.0,2,2.5,116.0,2
2801247,12,10,1150.0,2,2.0,116.0,2
2800684,5,10,1100.0,1,1.0,46.0,1
2800653,47,16,2800.0,3,4.5,250.0,2
2800646,8,14,900.0,2,2.0,120.0,2
2800618,11,11,705.0,3,2.0,80.0,2
2800491,6,16,485.0,1,1.0,90.0,1
2800477,13,4,720.0,3,2.0,88.0,2
2800475,10,15,5850.0,2,2.0,68.0,1
2800472,47,15,1275.0,2,2.0,102.0,2
2800451,10,13,850.0,2,1.0,87.0,1
2800410,13,11,600.0,1,1.0,64.0,1
2800397,12,15,800.0,1,2.0,72.0,1
2800383,13,13,1100.0,2,2.0,77.0,2
2800381,1,14,875.0,1,1.0,72.0,1
2800257,10,14,1150.0,3,2.0,88.0,2
2800235,8,16,1750.0,3,2.5,108.0,2
2800144,30,11,8853.0,3,2.0,80.0,2
2800139,7,11,7753.0,3,2.0,110.0,2
2800132,30,11,10353.0,3,2.5,127.0,2
2800118,10,Santa Catarina Pinula,5803.0,3,2.0,81.0,2
2800098,11,15,800.0,1,1.0,80.0,1
2799961,12,14,2200.0,2,2.0,159.0,2
2799871,13,15,1200.0,3,2.5,147.0,2
2799785,4,16,600.0,2,1.0,52.0,2
2799645,5,14,1100.0,2,2.0,90.0,1
2799506,14,15,1075.0,2,2.0,67.0,2
2799318,11,11,765.0,3,2.0,105.0,2
2799273,6,7,697.0,3,2.0,105.0,2
2799158,46,13,750.0,2,2.0,112.0,2
2799012,14,10,1400.0,3,2.0,85.0,2
2798911,15,10,830.0,1,1.0,40.0,1
2798065,11,13,705.0,1,1.0,45.0,1
2797987,49,16,3800.0,3,3.5,337.0,4
2797957,11,10,1175.0,2,2.5,79.0,2
